Quartiere;Categoria;Denominazione;Descrizione;Indirizzo;Latitudine;Longitudine
Navile;Gallerie;Studio Cloud 4;Lo Studio Cloud 4 è uno spazio d'arte contemporanea a Bologna, che nasce dalla necessitÃ  di dialogo tra le varie realtà  creative della città, con un occhio rivolto alla scena internazionale, e l'altro al passato, spesso sottovalutato.;Via Giuseppe Parini, 4/a - 40129 Bologna;44.514.911;11.340.353		
Navile;Gallerie;C.U.BO Centro Unipol Bologna;CUBO Centro Unipol Bologna è lo spazio aggregativo e il centro di documentazione attraverso il quale il Gruppo Unipol vuole raccontare la sua identità, la sua cultura sociale, la sua peculiarità  rispetto al mercato e il ruolo sociale dell'attività  assicurativa e bancaria.;Piazza Sergio Vieira de Mello, 3/5 - 40128 Bologna;44.512.212;11.357.157
Navile;Gallerie;Angela Memola Grafique Artgallery;Galleria d'arte privata specializzata in arte contemporanea;Via Ferrarese, 57 - 40128 Bologna;44.515.836;11.354.149
Santo Stefano;Gallerie;Capo di Lucca;Capo di Lucca è un open space esclusivo ricavato negli ambienti dell'antico mulino medievale Leone Aposa. Al numero 12/a dell'omonima via può ospitare convegni, incontri, convention, workshop, mostre e conferenze che richiedano un tocco di originalitÃ  e fascino.;Via Capo di Lucca, 12a - 40126 Bologna;4.449.909;11.346.939
Santo Stefano;Gallerie;Galleria d'arte Cinquantasei;La Galleria d'Arte Cinquantasei è stata fondata nel 1980 a Bologna da Silvana ed Estemio Serri, con la consulenza artistica dell'allora direttore della Galleria d'Arte Moderna è Franco Solmi.;Via Mascarella, 59/b - 40126 Bologna;44.500.4331;1.351.154
Borgo Panigale - Reno;Gallerie;Piccinini Arte;Fondata nel 1961 per iniziativa dei fratelli Dante e Giuseppe Piccinini, a cui  si aggiungerà  in seguito Vincenzo. La galleria Piccinini Arte negli ultimi anni ha effettuato vari cambiamenti grazie a Davide Piccinini, figlio di Vincenzo, che ne ha assunto il ruolo di titolare.;Via Speranza, 1/3 - 40133 Bologna;44.508.307;11.297.562
Borgo Panigale - Reno;Gallerie;Arte e Arte;Fondata nel 1999, con l'intento di avvicinarsi all'opera d'arte con sguardo sempre vergine e con l'entusiasmo dell'archeologo che riporta alla luce non solo l'opera ma anche le istanze culturali ed emotive che ruotano intorno ad essa.;Via Punta, 8/3 - 40132 Bologna;44.543.224;11.250.538
Porto - Saragozza;Gallerie;ONO arte contemporanea;ONO arte contemporanea è una galleria dedicata all'arte in tutte le sue forme: fotografia, videoarte, grafica, installazioni, libri, oggetti di design e abbigliamento, documentari, musica, vinili.;Via Santa Margherita, 10 - 40123 Bologna;44.492.756;11.339.788
Porto - Saragozza;Gallerie;Di Paolo Arte;Galleria d'arte privata specializzata in arte moderna e contemporanea. La Galleria nasce nel 2003 per l'impegno e la volontà  di appassionati che dopo un trentennio di attento collezionismo hanno deciso di aprire questo spazio segnando il passaggio dal collezionismo al mercato.;Galleria Falcone e Borsellino, 4/a-b - 40123 Bologna;44.492.655;11.340.844
Porto - Saragozza;Gallerie;CAR drd;	CAR è uno spazio d'arte indipendente situato nella zona della Manifattura delle Arti di Bologna in un piccolo spazio progetto di arte contemporanea, con l'obiettivo di promuovere e sviluppare la pratica artistica contemporanea.;Via Azzo Gardino, 14/a - 40122 Bologna;44.500.092;11.337.911


Navile	Musei	Museo CRA UnitÃ  di Ricerca di Apicoltura e Bachicoltura	La collezione apistica Dalla sua fondazione lâ€™Istituto di apicoltura (oggi CRA-API) ha raccolto, anche grazie a donazioni, del materiale correlato allâ€™apicoltura risalente ad epoche diverse. Tra gli oggetti esposti vi sono numerosi modelli di arnie in uso in diverse zone dâ€™Italia nel corso ...			Via di Saliceto, 80 - 40128 Bologna	44.524.923	11.350.012	{"coordinates": [11.350012, 44.524923], "type": "Point"}	44.524923, 11.350012
Navile	Musei	Museo del Patrimonio Industriale (ex Fornace Galotti)	Il Museo ha sede nella periferia nord di Bologna in un'ex fornace lungo il Navile antico canale navigabile della cittÃ . La fornace, costruita nel 1887 con Forno Hoffmann a ciclo continuo, produceva mattoni, tegole marsigliesi e laterizi cotti lavorando argilla di ottima qualitÃ  presente ...	dal 16 settembre 2020: mercoledÃ¬, giovedÃ¬, venerdÃ¬ ore 10-13; sabato, domenica ore 10-14	fino al 15 settembre 2020: aperto solo su prenotazione per gruppi di 4 persone. La prenotazione va effettuata via mail a museopat@comune.bologna.it, con almeno 3 giorni di anticipo	Via della Beverara 123 - 40131 Bologna	4.452.213	11.331.311	{"coordinates": [11.331311, 44.52213], "type": "Point"}	44.52213, 11.331311
Santo Stefano;Musei;Palazzo Pepoli. Museo della Storia di Bologna	Cuore diÂ  Genus Bononiae, Palazzo Pepoli. Museo della Storia di Bologna Ã¨ sede di un museo dedicato alla storia, alla cultura e alle trasformazioni di Bologna, dalla Felsina etrusca fino ai nostri giorni. Il museo si rivolge a un pubblico vasto e differenziato: dai bolognesi che vogliono ...			Via Castiglione, 8 - 40124 Bologna	44.492.162	11.346.374	{"coordinates": [11.346374, 44.492162], "type": "Point"}	44.492162, 11.346374
Santo Stefano;Musei;Museo Tolomeo	Il Museo Tolomeo, ospitato in una sala dellâ€™Istituto dei Ciechi Francesco Cavazza, raccoglie diversi oggetti, tecnologici e non, che hanno attraversato la storia del Cavazza e si sono intrecciati con la vita della cittÃ  di Bologna. Un ambiente tra installazione intermediale interattiva e arte ...			Istituto dei Ciechi "Francesco Cavazza" - Via Castiglione, 71 - 40124 Bologna	44.486.338	11.348.214	{"coordinates": [11.348214, 44.486338], "type": "Point"}	44.486338, 11.348214
Santo Stefano;Musei Universitari - Collezione di Chimica "Giacomo Ciamician"	La Raccolta, istituita nel 1983 come â€œRaccolta Museale G. Ciamicianâ€, comprende numerose apparecchiature usate sia per la ricerca scientifica che come ausilio didattico per gli studenti. Le apparecchiature usate ai fini della ricerca datano dallâ€™ultimo decennio del secolo XIX e annoverano ...			Via Selmi, 2 - 40126 Bologna	44.496.248	1.135.415	{"coordinates": [11.35415, 44.496248], "type": "Point"}	44.496248, 11.35415
Santo Stefano;Musei Universitari - Museo di Fisica	Trasferiti i materiali settecenteschi in Palazzo Poggi, oggi il Museo conserva i seguenti importanti nuclei: strumenti della fisica sperimentale dell'Ottocento, le originali attrezzature didattiche e sperimentali di Augusto Righi (1850-1920), i dispositivi di didattica e di ricerca pura o ...			Via Irnerio, 48 - 40126 Bologna	44.499.258	11.352.862	{"coordinates": [11.352862, 44.499258], "type": "Point"}	44.499258, 11.352862
Borgo Panigale - Reno	Musei	Museo Ducati	Nello stabilimento di Borgo Panigale su un'area di 1000 mq, rivive la storia delle competizioni Ducati. Il Museo Ducati Ã¨ stato pensato in modo da offrire al visitatore una duplice lettura: da un lato, le moto sono state sistemate cronologicamente secondo un percorso circolare; dallâ€™altro, sei...			Via Antonio Cavalieri Ducati 3, 40132 Bologna	44.516.158	1.126.892	{"coordinates": [11.26892, 44.516158], "type": "Point"}	44.516158, 11.26892
Porto - Saragozza	Musei	Urban Center di Bologna	Urban Center Bologna Ã¨ il luogo in cui puoi conoscere le principali politiche e i progetti che stanno cambiando Bologna e il territorio metropolitano e in cui cittadini, istituzioni pubbliche, associazioni e rappresentanti del mondo economico e sociale possono incontrarsi e discutere le ...			Salaborsa Piazza Nettuno, 3 - 40124 Bologna	44.494.583	11.342.352	{"coordinates": [11.342352, 44.494583], "type": "Point"}	44.494583, 11.342352
Porto - Saragozza	Musei	Raccolta Lercaro	Il nucleo originario della Raccolta Lercaro risale al 1971, quando quattro artisti bolognesi (Aldo Borgonzoni, Pompilio Mandelli, Enzo Pasqualini, Ilario Rossi) donarono diverse loro opere al Cardinale Giacomo Lercaro (1891-1976), allora Arcivescovo Emerito di Bologna, in occasione del suo ...			c/o l'Istituto Veritatis Splendor (Galleria d'Arte Moderna), via Riva di Reno 57, 40122 Bologna	44.498.725	11.337.697	{"coordinates": [11.337697, 44.498725], "type": "Point"}	44.498725, 11.337697
Savena	Musei	Museo del Grigioverde: Museo Memoriale della LibertÃ 	l museo si compone di 5 scene multimediali nelle quali il visitatore diventa il Protagonista. Gli effetti speciali che accompagnano il pubblico in tutte le scene, permettono un'esperienza di completa immersione e fanno rivivere quei tragici giorni che portarono alla fine della II^ Guerra ...			Via Giuseppe Dozza, 24 - 40139 Bologna	44.475.573	1.139.556	{"coordinates": [11.39556, 44.475573], "type": "Point"}	44.475573, 11.39556
